ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
000612.SZ,2025-12-01,gaps up,skipped,volume_rule;reversal_rule,2025-12-03,2025-12-03 14:30:00,9.99,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-03,2025-12-03 14:30:00,9.99,9.64,9.81,9.86,9.75,10.11,48254905.0,53551320.0,0.0,False,False,True,0.10999999999999943,,
000672.SZ,2025-12-01,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,10.8,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,10.8,10.8,10.87,10.96,10.83,11.2,18836899.0,7800138.0,1.777777777777747,False,False,False,0.02999999999999936,,
000708.SZ,2025-12-01,gaps up,skipped,reversal_rule,2025-12-03,2025-12-03 14:30:00,15.85,,,,,,,,,,,,,,False,reversal_rule,2025-12-03,2025-12-03 14:30:00,15.85,15.2,15.6,15.9,15.47,15.96,23489053.0,14174500.0,0.16666666666666863,False,False,True,0.27000000000000135,,
002159.SZ,2025-12-01,gaps up,skipped,volume_rule,2025-12-03,2025-12-03 14:30:00,15.83,,,,,,,,,,,,,,False,volume_rule,2025-12-03,2025-12-03 14:30:00,15.83,15.58,15.74,15.75,15.62,15.86,2320501.0,2190401.0,0.0,True,False,True,0.03999999999999915,,
300929.SZ,2025-12-01,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,11.54,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,11.54,11.59,11.65,11.7,11.65,12.22,3897160.0,2826100.0,3.2000000000000712,False,False,False,0.0600000000000005,,
600497.SH,2025-12-01,gaps up,traded,completed,2025-12-03,2025-12-03 14:30:00,6.54,6.2964,0.24359999999999982,2025-12-09,2025-12-09 10:31:00,6.54,trailing_stop,5.0,0.0,0.0,0.0,1.0673234811165846,-0.4105090311986852,6.54,True,eligible,2025-12-03,2025-12-03 14:30:00,6.54,6.36,6.46,6.53,6.46,6.65,101923227.0,63521252.0,0.0,True,False,True,0.09999999999999964,6.2964,0.24359999999999982
601369.SH,2025-12-01,gaps up,skipped,reversal_rule,2025-12-03,2025-12-03 14:30:00,9.31,,,,,,,,,,,,,,False,reversal_rule,2025-12-03,2025-12-03 14:30:00,9.31,8.86,9.07,9.32,9.07,9.55,40750364.0,14778698.0,0.03999999999999915,False,False,True,0.21000000000000085,,
603787.SH,2025-12-01,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,14.03,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-03,2025-12-03 14:30:00,14.03,14.19,14.36,14.28,14.21,14.59,3524900.0,2850500.0,0.657894736842107,False,False,False,0.02000000000000135,,
301012.SZ,2025-12-08,gaps up,skipped,reversal_rule,2025-12-10,2025-12-10 14:30:00,26.43,,,,,,,,,,,,,,False,reversal_rule,2025-12-10,2025-12-10 14:30:00,26.43,25.71,25.88,26.4,25.86,27.38,10558467.0,6144150.0,0.0,False,False,True,0.14999999999999858,,
301198.SZ,2025-12-08,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-10,2025-12-10 14:30:00,11.97,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-10,2025-12-10 14:30:00,11.97,12.31,12.34,12.43,12.34,12.58,2876900.0,3171341.0,5.111111111111109,False,False,False,0.02999999999999936,,
600230.SH,2025-12-08,gaps up,skipped,volume_rule;reversal_rule,2025-12-10,2025-12-10 14:30:00,12.87,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-10,2025-12-10 14:30:00,12.87,12.6,12.74,12.9,12.65,13.04,9700275.0,11367976.0,0.18750000000000694,False,False,True,0.05000000000000071,,
600372.SH,2025-12-08,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-12-10,2025-12-10 14:30:00,12.5,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-12-10,2025-12-10 14:30:00,12.5,12.55,12.59,12.63,12.56,12.86,59525000.0,27784526.0,3.2499999999999445,False,False,False,0.009999999999999787,,
600859.SH,2025-12-08,gaps up,skipped,volume_rule;reversal_rule,2025-12-10,2025-12-10 14:30:00,14.91,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-10,2025-12-10 14:30:00,14.91,14.63,14.82,14.7,14.64,15.16,36418094.0,48218314.0,0.0,False,False,True,0.009999999999999787,,
601211.SH,2025-12-08,gaps up,skipped,reversal_rule,2025-12-10,2025-12-10 14:30:00,20.35,,,,,,,,,,,,,,False,reversal_rule,2025-12-10,2025-12-10 14:30:00,20.35,19.92,20.15,20.38,20.14,20.65,209351301.0,67218188.0,0.1304347826086849,False,False,True,0.21999999999999886,,
600875.SH,2025-12-11,gaps up,skipped,volume_rule;reversal_rule,2025-12-15,2025-12-15 14:30:00,23.92,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-15,2025-12-15 14:30:00,23.92,21.48,21.78,21.86,21.78,22.7,72250282.0,112729873.0,0.0,False,False,True,0.3000000000000007,,
601226.SH,2025-12-11,gaps up,skipped,volume_rule;reversal_rule,2025-12-15,2025-12-15 14:30:00,8.24,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-15,2025-12-15 14:30:00,8.24,7.79,7.9,7.88,7.81,8.05,19404788.0,27476611.0,0.0,False,False,True,0.019999999999999574,,
002309.SZ,2025-12-12,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-16,2025-12-16 14:30:00,3.41,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-16,2025-12-16 14:30:00,3.41,3.64,4.0,4.0,4.0,4.0,41624155.0,130685544.0,589999.9999999999,False,False,False,0.3599999999999999,,
