ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
001219.SZ,2025-06-24,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-06-25,2025-06-25 14:30:00,13.28,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-06-25,2025-06-25 14:30:00,13.28,13.45,13.46,13.62,13.46,13.63,1812665.0,2052056.0,2.125000000000021,False,False,False,0.010000000000001563,,
002889.SZ,2025-06-30,gaps up,skipped,volume_rule;reversal_rule,2025-07-01,2025-07-01 14:30:00,15.21,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-01,2025-07-01 14:30:00,15.21,14.67,14.77,15.01,14.77,15.12,8006292.0,9638534.0,0.0,False,False,True,0.09999999999999964,,
000900.SZ,2025-07-01,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-07-02,2025-07-02 14:30:00,4.43,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-07-02,2025-07-02 14:30:00,4.43,4.31,4.5,4.65,4.4,4.65,53251205.0,72575930.0,1.4666666666666675,False,False,True,0.09000000000000075,,
002001.SZ,2025-07-02,gaps up,skipped,volume_rule;gap_fill_rule,2025-07-03,2025-07-03 14:30:00,21.86,,,,,,,,,,,,,,False,volume_rule;gap_fill_rule,2025-07-03,2025-07-03 14:30:00,21.86,21.33,21.65,21.39,21.36,21.69,40050724.0,46524053.0,0.0,True,False,False,0.030000000000001137,,
600583.SH,2025-07-02,gaps up,skipped,pullback_rule;reversal_rule,2025-07-03,2025-07-03 14:30:00,5.58,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-07-03,2025-07-03 14:30:00,5.58,5.48,5.58,5.64,5.52,5.72,100378301.0,51846201.0,1.0,False,False,True,0.03999999999999915,,
300883.SZ,2025-07-08,gaps up,skipped,pullback_rule;volume_rule,2025-07-09,2025-07-09 14:30:00,6.49,,,,,,,,,,,,,,False,pullback_rule;volume_rule,2025-07-09,2025-07-09 14:30:00,6.49,6.33,6.41,6.58,6.41,6.94,36112499.0,26774510.0,0.5294117647058817,True,False,True,0.08000000000000007,,
301006.SZ,2025-07-09,gaps up,skipped,detect_day_gap_not_confirmed,,,,,,,,,,,,,,,,,False,detect_day_gap_not_confirmed,,,,,,,,,,,,False,False,False,,,
603700.SH,2025-07-09,gaps up,skipped,volume_rule;reversal_rule,2025-07-10,2025-07-10 14:30:00,12.32,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-10,2025-07-10 14:30:00,12.32,12.04,12.12,12.14,12.07,12.24,3447130.0,4155780.0,0.0,False,False,True,0.030000000000001137,,
600323.SH,2025-07-15,gaps up,skipped,reversal_rule,2025-07-16,2025-07-16 14:30:00,25.89,,,,,,,,,,,,,,False,reversal_rule,2025-07-16,2025-07-16 14:30:00,25.89,24.76,25.09,25.62,25.09,25.93,15508087.0,8780745.0,0.0,False,False,True,0.3299999999999983,,
603661.SH,2025-07-16,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-17,2025-07-17 14:30:00,28.66,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-17,2025-07-17 14:30:00,28.66,29.42,29.5,29.7,29.43,29.95,834761.0,708584.0,5.200000000000014,False,False,False,0.00999999999999801,,
601225.SH,2025-07-18,gaps up,skipped,volume_rule;reversal_rule,2025-07-21,2025-07-21 14:30:00,19.47,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-21,2025-07-21 14:30:00,19.47,19.02,19.08,19.14,19.06,19.32,45468566.0,63073487.0,0.0,False,False,True,0.03999999999999915,,
601898.SH,2025-07-18,gaps up,skipped,pullback_rule;volume_rule;gap_fill_rule,2025-07-21,2025-07-21 14:30:00,11.07,,,,,,,,,,,,,,False,pullback_rule;volume_rule;gap_fill_rule,2025-07-21,2025-07-21 14:30:00,11.07,11.2,11.24,11.24,11.21,11.35,16307392.0,20211695.0,1.2142857142857242,True,False,False,0.010000000000001563,,
002523.SZ,2025-07-21,gaps up,skipped,volume_rule,2025-07-22,2025-07-22 14:30:00,3.99,,,,,,,,,,,,,,False,volume_rule,2025-07-22,2025-07-22 14:30:00,3.99,3.79,3.81,3.9,3.8,3.93,50521524.0,80780064.0,0.0,True,False,True,0.009999999999999787,,
600019.SH,2025-07-21,gaps up,skipped,volume_rule,2025-07-22,2025-07-22 14:30:00,7.47,,,,,,,,,,,,,,False,volume_rule,2025-07-22,2025-07-22 14:30:00,7.47,7.14,7.19,7.36,7.18,7.44,111295310.0,136249376.0,0.0,True,False,True,0.040000000000000036,,
600039.SH,2025-07-21,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,8.68,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,8.68,8.65,8.72,8.95,8.66,8.98,76421670.0,85084226.0,1.1739130434782659,False,False,False,0.009999999999999787,,
600352.SH,2025-07-21,gaps up,skipped,pullback_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,10.47,,,,,,,,,,,,,,False,pullback_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,10.47,10.3,10.33,10.59,10.31,10.74,48798269.0,28705461.0,0.4615384615384589,True,False,False,0.009999999999999787,,
601700.SH,2025-07-21,gaps up,skipped,volume_rule,2025-07-22,2025-07-22 14:30:00,5.04,,,,,,,,,,,,,,False,volume_rule,2025-07-22,2025-07-22 14:30:00,5.04,4.71,4.75,4.96,4.75,5.13,49583986.0,40674005.0,0.0,True,False,True,0.040000000000000036,,
603315.SH,2025-07-21,gaps up,skipped,volume_rule;reversal_rule,2025-07-22,2025-07-22 14:30:00,13.99,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-22,2025-07-22 14:30:00,13.99,12.87,13.04,13.6,12.97,14.04,31904884.0,30369600.0,0.0,False,False,True,0.10000000000000142,,
603387.SH,2025-07-21,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,8.48,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,8.48,8.43,8.47,8.61,8.44,8.65,6800141.0,4116611.0,0.9285714285714295,False,False,False,0.009999999999999787,,
603568.SH,2025-07-21,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,19.16,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-07-22,2025-07-22 14:30:00,19.16,19.09,19.16,19.17,19.1,19.52,5379599.0,5567656.0,1.0,False,False,False,0.010000000000001563,,
