ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
001219.SZ,2025-06-24,gaps up,skipped,volume_rule,2025-06-26,2025-06-26 14:30:00,13.68,,,,,,,,,,,,,,False,volume_rule,2025-06-26,2025-06-26 14:30:00,13.68,13.45,13.46,13.62,13.46,13.63,1812665.0,1820894.0,0.0,True,False,True,0.010000000000001563,,,
002889.SZ,2025-06-30,gaps up,error,No parquet shards found for 2025-06 in C:\Users\chans\vsCodeProjects\stock-gaps-up-reg\inputs\a_share_1_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No parquet shards found for 2025-06 in C:\Users\chans\vsCodeProjects\stock-gaps-up-reg\inputs\a_share_1_min
000900.SZ,2025-07-01,gaps up,error,No parquet shards found for 2025-07 in C:\Users\chans\vsCodeProjects\stock-gaps-up-reg\inputs\a_share_1_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No parquet shards found for 2025-07 in C:\Users\chans\vsCodeProjects\stock-gaps-up-reg\inputs\a_share_1_min
