ts_code,detect_date,target_date,window_trading_days,status,direction,detect_close,target_close,change_amount,change_pct,error_message
002107.SZ,2025-12-04,2025-12-17,10,ok,down,7.15,5.88,-1.2700000000000005,-0.17762237762237768,
001211.SZ,2025-12-04,2025-12-17,10,ok,down,32.21,25.15,-7.060000000000002,-0.21918658801614413,
000703.SZ,2025-12-02,2025-12-15,10,ok,up,8.21,8.23,0.019999999999999574,0.0024360535931789978,
001318.SZ,2025-12-01,2025-12-12,10,ok,down,17.57,14.74,-2.83,-0.16107000569151964,
300952.SZ,2025-12-01,2025-12-12,10,ok,down,34.02,33.45,-0.5700000000000003,-0.016754850088183428,
002544.SZ,2025-12-01,2025-12-12,10,ok,up,29.35,32.5,3.1499999999999986,0.10732538330494032,
600362.SH,2025-12-01,2025-12-12,10,ok,up,40.86,41.66,0.7999999999999972,0.019579050416054754,
002625.SZ,2025-12-01,2025-12-12,10,ok,up,49.68,52.2,2.520000000000003,0.050724637681159486,
601717.SH,2025-12-01,2025-12-12,10,ok,up,24.02,24.64,0.620000000000001,0.025811823480433014,
002413.SZ,2025-11-26,2025-12-09,10,ok,up,7.71,9.78,2.0699999999999994,0.2684824902723735,
000407.SZ,2025-11-18,2025-12-01,10,ok,down,6.7,4.92,-1.7800000000000002,-0.2656716417910448,
002682.SZ,2025-11-18,2025-12-01,10,ok,down,7.84,5.76,-2.08,-0.2653061224489796,
600698.SH,2025-11-17,2025-11-28,10,ok,down,10.35,9.4,-0.9499999999999993,-0.0917874396135265,
600829.SH,2025-11-17,2025-11-28,10,ok,down,16.64,12.67,-3.9700000000000006,-0.2385817307692308,
600097.SH,2025-11-17,2025-11-28,10,ok,down,13.29,12.41,-0.879999999999999,-0.06621519939804357,
000633.SZ,2025-11-14,2025-11-27,10,ok,down,8.23,7.79,-0.4400000000000004,-0.05346294046172544,
000632.SZ,2025-11-14,2025-11-27,10,ok,down,7.95,5.98,-1.9699999999999998,-0.24779874213836475,
600829.SH,2025-11-14,2025-11-27,10,ok,down,15.13,12.63,-2.5,-0.16523463317911433,
001266.SZ,2025-11-14,2025-11-27,10,ok,down,36.27,31.7,-4.570000000000004,-0.12599944858009385,
002780.SZ,2025-11-14,2025-11-27,10,ok,down,19.2,15.39,-3.8099999999999987,-0.19843749999999993,
600903.SH,2025-11-14,2025-11-27,10,ok,down,7.4,6.86,-0.54,-0.07297297297297298,
603778.SH,2025-11-14,2025-11-27,10,ok,up,8.5,10.54,2.039999999999999,0.2399999999999999,
002309.SZ,2025-11-13,2025-11-26,10,ok,down,4.22,3.18,-1.0399999999999996,-0.24644549763033166,
600429.SH,2025-11-13,2025-11-26,10,ok,down,7.28,5.56,-1.7200000000000006,-0.23626373626373634,
603867.SH,2025-11-13,2025-11-26,10,ok,down,32.84,27.33,-5.510000000000005,-0.1677831912302072,
301305.SZ,2025-11-12,2025-11-25,10,ok,down,26.06,21.74,-4.32,-0.16577129700690715,
301305.SZ,2025-11-12,2025-11-25,10,ok,down,26.06,21.74,-4.32,-0.16577129700690715,
000061.SZ,2025-11-12,2025-11-25,10,ok,down,10.18,9.89,-0.28999999999999915,-0.028487229862475358,
300858.SZ,2025-11-12,2025-11-25,10,ok,down,19.17,18.56,-0.610000000000003,-0.03182055294731367,
300263.SZ,2025-11-11,2025-11-24,10,ok,down,9.13,8.05,-1.08,-0.11829134720700986,
600094.SH,2025-11-11,2025-11-24,10,ok,down,5.79,4.19,-1.5999999999999996,-0.27633851468048354,
600645.SH,2025-11-10,2025-11-21,10,ok,down,26.78,25.66,-1.120000000000001,-0.04182225541448846,
002731.SZ,2025-11-10,2025-11-21,10,ok,down,14.83,14.31,-0.5199999999999996,-0.03506405933917731,
000703.SZ,2025-11-10,2025-11-21,10,ok,down,7.3,7.09,-0.20999999999999996,-0.02876712328767123,
603612.SH,2025-11-10,2025-11-21,10,ok,down,29.06,22.87,-6.189999999999998,-0.21300757054370262,
000830.SZ,2025-11-10,2025-11-21,10,ok,down,15.53,14.61,-0.9199999999999999,-0.0592401802962009,
600939.SH,2025-11-10,2025-11-21,10,ok,down,4.37,3.51,-0.8600000000000003,-0.19679633867276894,
000830.SZ,2025-11-10,2025-11-21,10,ok,down,15.53,14.61,-0.9199999999999999,-0.0592401802962009,
002038.SZ,2025-11-10,2025-11-21,10,ok,down,7.82,7.3,-0.5200000000000005,-0.06649616368286451,
300437.SZ,2025-11-10,2025-11-21,10,ok,up,17.59,19.06,1.4699999999999989,0.08357021034678788,
002170.SZ,2025-11-07,2025-11-20,10,ok,down,13.56,12.19,-1.370000000000001,-0.10103244837758119,
002170.SZ,2025-11-07,2025-11-20,10,ok,down,13.56,12.19,-1.370000000000001,-0.10103244837758119,
002255.SZ,2025-11-07,2025-11-20,10,ok,down,14.38,13.4,-0.9800000000000004,-0.06815020862308764,
002186.SZ,2025-11-07,2025-11-20,10,ok,down,12.83,11.73,-1.0999999999999996,-0.08573655494933746,
000514.SZ,2025-11-07,2025-11-20,10,ok,down,6.39,5.42,-0.9699999999999998,-0.1517996870109546,
000534.SZ,2025-11-07,2025-11-20,10,ok,down,22.51,20.15,-2.360000000000003,-0.104842292314527,
300775.SZ,2025-11-06,2025-11-19,10,ok,down,30.59,28.91,-1.6799999999999997,-0.05491990846681921,
301548.SZ,2025-11-06,2025-11-19,10,ok,down,61.59,53.75,-7.840000000000003,-0.12729339178438062,
300109.SZ,2025-11-06,2025-11-19,10,ok,up,17.93,17.98,0.05000000000000071,0.002788622420524301,
000533.SZ,2025-11-06,2025-11-19,10,ok,down,8.73,8.65,-0.08000000000000007,-0.009163802978235975,
002562.SZ,2025-11-06,2025-11-19,10,ok,down,7.81,6.87,-0.9399999999999995,-0.12035851472471185,
002300.SZ,2025-11-06,2025-11-19,10,ok,down,7.96,7.06,-0.9000000000000004,-0.11306532663316587,
300402.SZ,2025-11-04,2025-11-17,10,ok,down,26.22,23.9,-2.3200000000000003,-0.08848207475209766,
300402.SZ,2025-11-04,2025-11-17,10,ok,down,26.22,23.9,-2.3200000000000003,-0.08848207475209766,
600308.SH,2025-11-04,2025-11-17,10,ok,down,4.5,4.36,-0.13999999999999968,-0.03111111111111104,
603169.SH,2025-11-04,2025-11-17,10,ok,down,10.54,10.06,-0.47999999999999865,-0.04554079696394674,
