ts_code,detect_date,target_date,window_trading_days,status,direction,detect_close,target_close,change_amount,change_pct,error_message
002552.SZ,2025-04-10,2025-04-16,5,ok,up,12.66,13.03,0.3699999999999992,0.029225908372827743,
002913.SZ,2025-04-10,2025-04-16,5,ok,down,22.19,22.16,-0.030000000000001137,-0.0013519603424966714,
301148.SZ,2025-04-10,2025-04-16,5,ok,up,17.89,18.76,0.870000000000001,0.04863051984348803,
600483.SH,2025-04-10,2025-04-16,5,ok,up,9.6,9.74,0.14000000000000057,0.014583333333333393,
000025.SZ,2025-04-18,2025-04-24,5,ok,down,21.19,17.27,-3.9200000000000017,-0.18499292118924027,
600382.SH,2025-05-07,2025-05-13,5,ok,down,4.89,4.82,-0.0699999999999994,-0.01431492842535775,
603588.SH,2025-05-19,2025-05-23,5,ok,down,5.84,5.67,-0.16999999999999993,-0.02910958904109588,
002366.SZ,2025-05-29,2025-06-05,5,ok,down,8.24,6.86,-1.38,-0.1674757281553398,
300587.SZ,2025-06-09,2025-06-13,5,ok,down,7.19,6.65,-0.54,-0.07510431154381085,
605167.SH,2025-06-16,2025-06-20,5,ok,down,13.18,11.52,-1.6600000000000001,-0.12594840667678303,
002430.SZ,2025-07-04,2025-07-10,5,ok,up,20.08,20.54,0.46000000000000085,0.022908366533864587,
000506.SZ,2025-07-08,2025-07-14,5,ok,up,10.44,10.7,0.2599999999999998,0.024904214559386954,
600392.SH,2025-07-11,2025-07-17,5,ok,up,14.99,16.1,1.1100000000000012,0.07404936624416285,
000777.SZ,2025-07-14,2025-07-18,5,ok,down,22.07,21.12,-0.9499999999999993,-0.04304485727231533,
000825.SZ,2025-07-21,2025-07-25,5,ok,up,4.27,4.32,0.05000000000000071,0.011709601873536467,
601611.SH,2025-07-21,2025-07-25,5,ok,down,9.68,9.65,-0.02999999999999936,-0.0030991735537189424,
000922.SZ,2025-07-22,2025-07-28,5,ok,down,12.9,11.97,-0.9299999999999997,-0.07209302325581393,
603169.SH,2025-07-23,2025-07-29,5,ok,down,8.2,7.79,-0.40999999999999925,-0.04999999999999991,
002639.SZ,2025-07-24,2025-07-30,5,ok,down,12.15,10.98,-1.17,-0.09629629629629628,
605088.SH,2025-07-28,2025-08-01,5,ok,down,42.9,40.55,-2.3500000000000014,-0.05477855477855481,
300584.SZ,2025-08-05,2025-08-11,5,ok,up,42.9,48.22,5.32,0.12400932400932402,
000688.SZ,2025-08-11,2025-08-15,5,ok,down,14.41,14.34,-0.07000000000000028,-0.004857737682165183,
001203.SZ,2025-08-11,2025-08-15,5,ok,down,12.3,11.88,-0.41999999999999993,-0.03414634146341463,
002340.SZ,2025-08-11,2025-08-15,5,ok,down,6.72,6.7,-0.019999999999999574,-0.0029761904761904127,
600338.SH,2025-08-11,2025-08-15,5,ok,down,12.06,11.89,-0.16999999999999993,-0.014096185737976776,
600425.SH,2025-08-11,2025-08-15,5,ok,down,4.85,4.36,-0.4899999999999993,-0.10103092783505141,
600444.SH,2025-08-11,2025-08-15,5,ok,down,17.85,17.4,-0.45000000000000284,-0.025210084033613602,
600581.SH,2025-08-12,2025-08-18,5,ok,down,5.13,4.47,-0.6600000000000001,-0.12865497076023394,
000792.SZ,2025-08-18,2025-08-22,5,ok,up,19.28,19.33,0.04999999999999716,0.002593360995850475,
001360.SZ,2025-08-18,2025-08-22,5,ok,down,15.82,15.8,-0.019999999999999574,-0.0012642225031605293,
002466.SZ,2025-08-18,2025-08-22,5,ok,down,44.46,43.1,-1.3599999999999994,-0.03058929374718847,
300814.SZ,2025-08-18,2025-08-22,5,ok,down,50.65,44.94,-5.710000000000001,-0.11273445212240871,
603132.SH,2025-08-18,2025-08-22,5,ok,down,13.96,13.6,-0.3600000000000012,-0.02578796561604593,
605020.SH,2025-08-18,2025-08-22,5,ok,up,30.33,30.58,0.25,0.008242664029014178,
002645.SZ,2025-08-19,2025-08-25,5,ok,down,18.05,17.97,-0.08000000000000185,-0.0044321329639890215,
002576.SZ,2025-08-20,2025-08-26,5,ok,down,21.04,19.1,-1.9399999999999977,-0.09220532319391625,
301282.SZ,2025-08-20,2025-08-26,5,ok,down,29.11,29.0,-0.10999999999999943,-0.0037787701820679986,
603657.SH,2025-08-20,2025-08-26,5,ok,up,42.21,46.06,3.8500000000000014,0.09121061359867333,
002056.SZ,2025-08-21,2025-08-27,5,ok,down,18.3,18.09,-0.21000000000000085,-0.01147540983606562,
002315.SZ,2025-08-21,2025-08-27,5,ok,down,53.18,51.91,-1.2700000000000031,-0.02388115833019938,
002714.SZ,2025-08-21,2025-08-27,5,ok,up,50.21,54.5,4.289999999999999,0.08544114718183626,
300777.SZ,2025-08-21,2025-08-27,5,ok,up,37.76,38.5,0.740000000000002,0.0195974576271187,
600660.SH,2025-08-21,2025-08-27,5,ok,down,64.7,64.22,-0.480000000000004,-0.00741885625966003,
601319.SH,2025-08-21,2025-08-27,5,ok,down,8.71,8.52,-0.19000000000000128,-0.0218140068886339,
605296.SH,2025-08-21,2025-08-27,5,ok,down,33.2,32.9,-0.30000000000000426,-0.009036144578313381,
002080.SZ,2025-08-22,2025-08-28,5,ok,up,35.29,37.2,1.9100000000000037,0.054122981014451794,
002177.SZ,2025-08-22,2025-08-28,5,ok,down,10.0,8.33,-1.67,-0.16699999999999998,
002212.SZ,2025-08-22,2025-08-28,5,ok,up,10.15,12.99,2.84,0.2798029556650246,
002838.SZ,2025-08-22,2025-08-28,5,ok,down,28.62,27.16,-1.4600000000000009,-0.0510132774283718,
003023.SZ,2025-08-22,2025-08-28,5,ok,down,24.91,22.95,-1.9600000000000009,-0.0786832597350462,
300113.SZ,2025-08-22,2025-08-28,5,ok,up,27.24,27.57,0.33000000000000185,0.012114537444933989,
300314.SZ,2025-08-22,2025-08-28,5,ok,down,15.47,14.8,-0.6699999999999999,-0.043309631544925654,
300324.SZ,2025-08-22,2025-08-28,5,ok,up,6.35,6.84,0.4900000000000002,0.0771653543307087,
301035.SZ,2025-08-22,2025-08-28,5,ok,up,72.41,77.62,5.210000000000008,0.07195138792984405,
600031.SH,2025-08-22,2025-08-28,5,ok,down,21.3,21.23,-0.07000000000000028,-0.003286384976525835,
600315.SH,2025-08-22,2025-08-28,5,ok,up,25.74,26.32,0.5800000000000018,0.022533022533022605,
600475.SH,2025-08-22,2025-08-28,5,ok,down,25.92,21.85,-4.07,-0.1570216049382716,
600633.SH,2025-08-22,2025-08-28,5,ok,down,15.68,15.39,-0.28999999999999915,-0.01849489795918362,
600728.SH,2025-08-22,2025-08-28,5,ok,up,6.82,7.42,0.5999999999999996,0.08797653958944276,
603187.SH,2025-08-22,2025-08-28,5,ok,up,14.69,15.1,0.41000000000000014,0.027910142954390753,
603227.SH,2025-08-22,2025-08-28,5,ok,down,9.79,9.63,-0.15999999999999837,-0.016343207354443143,
603897.SH,2025-08-22,2025-08-28,5,ok,down,27.65,26.74,-0.9100000000000001,-0.0329113924050633,
603966.SH,2025-08-22,2025-08-28,5,ok,down,12.17,11.27,-0.9000000000000004,-0.07395234182415779,
605028.SH,2025-08-22,2025-08-28,5,ok,down,29.55,22.71,-6.84,-0.2314720812182741,
605255.SH,2025-08-22,2025-08-28,5,ok,up,29.3,42.9,13.599999999999998,0.4641638225255972,
605303.SH,2025-08-22,2025-08-28,5,ok,down,20.04,19.64,-0.3999999999999986,-0.019960079840319292,
000070.SZ,2025-08-25,2025-08-29,5,ok,up,10.51,11.76,1.25,0.11893434823977164,
000157.SZ,2025-08-25,2025-08-29,5,ok,down,7.66,7.35,-0.3100000000000005,-0.04046997389033949,
000426.SZ,2025-08-25,2025-08-29,5,ok,up,20.56,21.33,0.7699999999999996,0.037451361867704265,
000586.SZ,2025-08-25,2025-08-29,5,ok,down,12.86,12.83,-0.02999999999999936,-0.0023328149300155024,
000630.SZ,2025-08-25,2025-08-29,5,ok,up,4.41,4.51,0.09999999999999964,0.022675736961451167,
000779.SZ,2025-08-25,2025-08-29,5,ok,down,9.7,9.45,-0.25,-0.025773195876288662,
000791.SZ,2025-08-25,2025-08-29,5,ok,down,6.62,6.42,-0.20000000000000018,-0.03021148036253779,
000837.SZ,2025-08-25,2025-08-29,5,ok,down,13.31,12.8,-0.5099999999999998,-0.03831705484598045,
000933.SZ,2025-08-25,2025-08-29,5,ok,down,19.57,19.31,-0.26000000000000156,-0.013285641287685312,
000960.SZ,2025-08-25,2025-08-29,5,ok,up,20.51,21.85,1.3399999999999999,0.0653339834227206,
000975.SZ,2025-08-25,2025-08-29,5,ok,up,18.92,19.63,0.7099999999999973,0.03752642706131064,
001267.SZ,2025-08-25,2025-08-29,5,ok,up,13.46,14.45,0.9899999999999984,0.07355126300148576,
001339.SZ,2025-08-25,2025-08-29,5,ok,down,70.27,64.79,-5.47999999999999,-0.07798491532659726,
002057.SZ,2025-08-25,2025-08-29,5,ok,up,11.45,11.75,0.3000000000000007,0.02620087336244548,
002080.SZ,2025-08-25,2025-08-29,5,ok,down,38.15,36.24,-1.9099999999999966,-0.05006553079947566,
002091.SZ,2025-08-25,2025-08-29,5,ok,down,8.36,8.08,-0.27999999999999936,-0.0334928229665071,
002190.SZ,2025-08-25,2025-08-29,5,ok,down,53.67,51.88,-1.7899999999999991,-0.03335196571641511,
002272.SZ,2025-08-25,2025-08-29,5,ok,down,19.43,17.48,-1.9499999999999993,-0.1003602676273803,
002290.SZ,2025-08-25,2025-08-29,5,ok,up,35.33,35.88,0.5500000000000043,0.015567506368525453,
002378.SZ,2025-08-25,2025-08-29,5,ok,up,13.38,14.85,1.4699999999999989,0.10986547085201785,
002402.SZ,2025-08-25,2025-08-29,5,ok,up,39.75,40.73,0.9799999999999969,0.024654088050314386,
002491.SZ,2025-08-25,2025-08-29,5,ok,down,5.8,5.61,-0.1899999999999995,-0.032758620689655085,
