ts_code,detect_date,note
600284.SH,20250827,gaps up
601033.SH,20250827,gaps up
603181.SH,20250827,gaps up
603360.SH,20250827,gaps up
603798.SH,20250827,gaps up
603859.SH,20250827,gaps up
603950.SH,20250827,gaps up
002250.SZ,20250828,gaps up
300435.SZ,20250828,gaps up
301183.SZ,20250828,gaps up
600211.SH,20250828,gaps up
601877.SH,20250828,gaps up
603893.SH,20250828,gaps up
605188.SH,20250828,gaps up
000603.SZ,20250829,gaps up
000737.SZ,20250829,gaps up
000831.SZ,20250829,gaps up
000892.SZ,20250829,gaps up
000920.SZ,20250829,gaps up
000962.SZ,20250829,gaps up
001222.SZ,20250829,gaps up
002115.SZ,20250829,gaps up
002195.SZ,20250829,gaps up
002244.SZ,20250829,gaps up
002384.SZ,20250829,gaps up
002484.SZ,20250829,gaps up
002564.SZ,20250829,gaps up
002669.SZ,20250829,gaps up
002837.SZ,20250829,gaps up
002926.SZ,20250829,gaps up
002957.SZ,20250829,gaps up
300007.SZ,20250829,gaps up
300043.SZ,20250829,gaps up
300132.SZ,20250829,gaps up
300450.SZ,20250829,gaps up
300701.SZ,20250829,gaps up
300709.SZ,20250829,gaps up
300797.SZ,20250829,gaps up
300852.SZ,20250829,gaps up
300955.SZ,20250829,gaps up
300972.SZ,20250829,gaps up
300973.SZ,20250829,gaps up
300988.SZ,20250829,gaps up
300990.SZ,20250829,gaps up
301021.SZ,20250829,gaps up
301065.SZ,20250829,gaps up
301150.SZ,20250829,gaps up
301177.SZ,20250829,gaps up
301178.SZ,20250829,gaps up
301186.SZ,20250829,gaps up
301196.SZ,20250829,gaps up
301257.SZ,20250829,gaps up
301365.SZ,20250829,gaps up
301389.SZ,20250829,gaps up
301448.SZ,20250829,gaps up
301488.SZ,20250829,gaps up
600114.SH,20250829,gaps up
600156.SH,20250829,gaps up
600160.SH,20250829,gaps up
600176.SH,20250829,gaps up
600230.SH,20250829,gaps up
600287.SH,20250829,gaps up
600362.SH,20250829,gaps up
600435.SH,20250829,gaps up
600489.SH,20250829,gaps up
600651.SH,20250829,gaps up
600711.SH,20250829,gaps up
600928.SH,20250829,gaps up
601319.SH,20250829,gaps up
601336.SH,20250829,gaps up
601601.SH,20250829,gaps up
601717.SH,20250829,gaps up
601869.SH,20250829,gaps up
601991.SH,20250829,gaps up
603020.SH,20250829,gaps up
603068.SH,20250829,gaps up
603087.SH,20250829,gaps up
603177.SH,20250829,gaps up
603217.SH,20250829,gaps up
